Name,Phone
"Sri Vishweshwaraiah School, Bellary","08392-245345, 08392-245641"
"Shantiniketan Trust School, Bengaluru","080-26484762, 080-26484164"
"Silicon Valley School, Bengaluru","080-23637260, 09343469226"
"Sri Taralabalu School, Davanagere","08192-222270, 08192-220017"
"Vidya Vahini School, Bangalore Urban","080 55330222 , 56991291 55330223"
"Vidyadayini School, Davanagere","08192 243700 , 241508"
"Xavier School, Raichur","08538-221856,221857"
"Vagdevi Vilas School, Varthur","0493 08028495850 , 2332088"
"Shastry School, Mysore","08284 09986042582 , 28562544"
"The Smart School, Bangalore Urban","08022739252"
"Sri Taralbalu School, Haveri","08376-283512"
"The Yenepoya School, Dakshina Kannada","0824- 2241864"
"Anmol Public School, Davanagere","0819 2264655"
"Sri Sai Angels School, Chikkamagaluru",""
"Ankur Primary School, Kodagu","08272 - 263634"
"St. Anne's School, Bagalkot","08354-233328"
"St. ANN's High School, Bengaluru","080-23352659"
"St. ANN's School, Chikkaballapur","08155-292673, 08155-285735"
"BGS International Residential School, Bangalore Urban","080 28437582 , 8437582 9886500211"
"Bethesda International School, Bengaluru","080-28484090, 080-28488606"
"The Frank Anthony Public School, Bengaluru","080-25540973"
"BGS Public School, Bangalore Urban","0474 080-65901710 , 0484 6520135"
"BGS National Public School, Bangalore Urban","080-26484933"
"BGS Central School, Uttara Kannada","08386 269538 , 28562544"
"BGS Model Public School, Mandya","+91 9342671526"
"Shree Bharathi Vidyalaya, Bengaluru","080-23112134"
"Seva Bharathi English Medium Higher Primary School, Chamarajanagar","08226 - 222394"
"Ravindra Bharathi Global School, Marathahalli","080 65593333"
"Ravindra Bharathi Global School, Horamavu","080 60660888,080 60660999"
"Vidya Bharati English Medium Primary School, Raichur","08532-220262"
"Bharatiya Vidya Bhavan Dr.d.krishnamurthy & Smt. D.shakuntalamma Memorial School, Shimoga","08182 241241,242242"
"Bhartiya Vidya Bhawan Kodagu Vidyalaya, Kodagu","08272 225920 , 224629 09424260389"
"Ravindra Bharathi Global School, HSR Layout","080 65313333"
"Bheema Universal Central School, Bijapur","08488-200711"
"Bhubana Jyothi Residential School, Dakshina Kannada","263789"
"K L E Society's Smt. Chandrakala Bhimarao Ranamode School, Belgaum","0612 08289-285855 , 2683934"
"Bhoomi Public School, Tumkur",""
"Vagdevi Vilas School, Bidadi","95120 08027201039"
"Bishop Cotton Girls' School, Bengaluru","080-22210268, 080-22213083"
"Sri Bhuvandendra Residential School, Udupi","08258 735078 , 717487"
"Bishop Cotton Boys' School, Bengaluru","080-22213608, 080-22213835"
"K E Boards Higher Pri School, Dharwad","0836-2440674"
"Cantonment Board Eng Midium School, Belgaum",""
"Bishop Sargant School, Tumkur","0816-2252092"
"S.r. Bommai Rotary Public School, Dharwad","08284 0836 - 2228254 , 28562544"
"Don Bosco School, Chitradurga","08194-234804, 08194-234656, 08194-235995"
"Don Bosco School, Udupi","08254275120"
"The Brigade School, JP Nagar","0183 41301390"
"The Brigade School, Mahadevapura","080-41158829"
"St. Joseph's Boys High School, Bengaluru","080-22214416, 080-22106706"
"The Brigade School, Malleswaram","080- 41411581"
"Bright Public School, Dakshina Kannada","080 25480545"
"Brooklyn National Public School, Bengaluru","9902044120, 08023103211"
"Vibgyor High, BTM layout","080 - 3374 3000"
"Brilliant National School, Bangalore Urban","09845019858"
"M.C.S Public School, Chamarajanagar","0120 08226-223248 , 01202753444"
"M.E.C. Public School, Bangalore Urban","65607020"
"C.T.E Societys International Public School, Belgaum","08338272537"
"California Public School, Bengaluru","080-23488623"
"Cambridge School, Bengaluru","080-25612067, 080-25618600"
"S. Cadambi Vidya Kendra English Sec. School, Bengaluru","080-23226019"
"Cambridge Public School, Bengaluru","080-22589283, 080-22589281"
"The New Cambridge English School, Bengaluru","080-23301404-99, 080-23301578"
"Cambridge Public School, H.S.R Extension","+91-80- 25723839, 25727335, 25727336, 25729395"
"Cambridge Public School, Bengaluru","080-41279300, 080-41570040"
"Cambridge International Public School, Shimoga","08182 249657 , 28562544"
"Cambridge Public School, Bangalore Urban","080 27255445 , 27253179"
"Cambridge Public School, Ranebennur","08373 268999"
"Cambridge School, Dakshina Kannada","0824 645184 , 362919"
"Canadian International School, Bangalore Urban","+91 80 4249 4444"
"New Cambridge International Public School, Bangalore Urban","080 23493096"
"Kendriya Vidyalaya, NAL Campus","080-25275473"
"Canara School(cbse Curriculum), Dakshina Kannada","(0824) 2496214"
"Candor International School, HSR Layout","+91-80-3085 2888, +91-80-3085 2999, +91-94832 99999"
"Canadian International School, Bangalore Urban","+91 80 4249 4444"
"Candor International School, Hullahalli","+91-80-3085 2888, +91-80-3085 2999, +91-94832 99999"
"Capitol Public School, Bangalore Urban","08134 080-26851104 , 08134-251795"
"Carmel School, Bengaluru","080-26691040, 080-26790932"
"Carmel High School, Bengaluru","080-23227015"
"Mount Carmel Central School, Dakshina Kannada","080 0824-2214030 , 2341787"
"Carmel Convent School, Bengaluru","080-28439551"
"Mount Carmel School, Uttara Kannada","08383295222"
"Carmel School, Dakshina Kannada","009108242424429"
"Flos Carmeli Convent School, Mysore","0821-2491006, 0821-2491002"
"Carmel School, Dakshina Kannada","08258-238842"
"The Cathedral High School, Bengaluru","080-25574819, 080-25572656"
"KLS Cbse School, Belgaum","08312405536"
"Vidya Vardhaka Sangha Gandhi Centenary English Primary School, Bangalore Urban","080 23378717"
"Green Park Central School, Udupi","0820-2542404"
"Cauvery Public School, Mandya","08232-219135, 08232-219136"
"Trinity Central School, Udupi","0820-2572525"
"St. Joseph's Central School, Mysore","0821 303945 , 451258"
"Sri Venu Central School, Kolar","08157-245265, 09972328125"
"R.V.S.R. Central School, Koppal","08533-283127, 08533-283128"
"I T I Central School, Bangalore Urban","2503867"
"Kalpataru Central School, Tumkur","08134 253504 , 09008647062"
"Sri Taralabalu Central School, Davanagere","08192 220117 , 28562544"
"Love Dale Central School, Belgaum","0751 4081717 , 0751-4033202"
"Lourdes Central School, Dakshina Kannada","0824 2223366 , 5273081 35524"
"R L Jallapa Central School, Kolar","08152 221577 , 223155 222637"
"Shri Manjunatheshwara Central School, Dharwad","0836 2462005 , 2461184"
"Green Valley Central School, Mandya","263789"
"Jnana Ganga Central School, Dakshina Kannada","08257-271533"
"Thyagaraju Central School, Bangalore Urban","080 08113-321666 , 28562544"
"Ganga Central School, Chitradurga","09242646813"
"Shree Skanda Central School, Bangalore Urban","080 08332-229504 , 28562544"
"Shaikh Central School, Belgaum","080 0831 - 2471287, 2470486 , 28562544"
"Deva Matha Central School, Vidyaranyapura","080 -23643752, 65478145"
"S V Central School, Bangalore Urban","08022792456, 5386486"
"Kumadvathi Residential Central School, Shimoga","08187-222067"
"Sanmarg Central School, Bangalore Urban","0744 080-65711122 , 440303"
"Prarthana Central School, Bangalore Urban","08026790625"
"Metropolitan Central School, Bangalore Urban","08022263022"
"Kairalee Nilayam Central School, Bangalore Urban","08025238102"
"J.S.S Shri Manjunatheshwara Central School, Dharwad","2205055"
"Sri Taralabalu Central School, Davanagere","08189 293555"
"Margadarshan Central School, Bagalkot","9980098555"
"Maharshi Valmiki Central School, Mandya","00971 08232219740 , 2281041"
"M.P.E. Society Central School, Uttara Kannada","08387-220293"
"Nittur Central School, Haveri","0873 - 290616"
"Central School For Tibetans, Uttara Kannada","08301 45728 , 45728"
"Central School For Tibetans, Mysore","08225 23241 , 45728"
"Central School For Tibetans, Mysore","08222 246030 , 08222246030"
"Good Shepherd Central School, Belgaum","08312447774"
"Central School For Tibetans, Mysore","08223 54053 , 53168"
"J K Memorial Central School, Tumkur","08138-232757"
"Sai Nalanda Central School, Mysore","08223293599"
"Rainbow Central School, Belgaum","08331-252334 (09880509322)"
"Joshi's Central Public School, Belgaum","0831-2467018"
"St. Josephs Central School, Mysore","01498 231231 , 01462-225545"
"Central School F Tibetans, Mysore","08223 54436 , 53168"
"St. Rosollos Central School, Mysore","08212364706"
"Prajna Central School, Chikmagalur","08267-214248"
"Navodaya Central School, Raichur","08532-223368"
"Soundarya Central School, Bangalore Urban","080-28391115"
"Vivekananda Educational Centre, Bengaluru","080-26633167, 080-41211099"
"Sri Vani Education Centre, Bangalore Urban","080-23238608, 080-23228078"
"Srivani Education Centre School, Bangalore Urban","0486 716115 , 241465"
"National Centre For Excellence, Bangalore Urban","0361-08025344939, 03776266558"
"Navkis Education Centre, Bangalore Urban","080 23456663 , 23450777080"
"Maharishi Centre For Excellence, Bangalore Urban","080 27303624"
"Navkis Educational Centre, Mysore","+91 80 23456663, 23450812"
"Sri K.K. Education Centre, Bangalore Urban","080 080-22928776 , 28562544"
"Jet Rural Education Centre, Chitradurga","08193259937"
"Sri Chaitanya Techno School, Seethappa Garden","080-65685615, 080-65685616"
"Sri Chaitanya Techno School, Maruthi Layout","080-64552081"
"Sri Chaitanya Techno School, Munnekolala","08064552082/84"
"Sri Chaitanya Techno School, Tumkur","9663733995"
"Sri Chaitanya Techno School, JP Nagar","09663833997"
"Sri Chaitanya Techno School, Nagavara","080-65469740"
"Sri Chaitanya Techno School, KR Puram","080-65469742"
"Sri Chaitanya Techno School, Seshadripuram","080-9243681097"
"Sri Chaitanya Techno School, Nagarbhavi","080-9243689247"
"School Chandan, Gadag","08487-273160"
"Smt. Leelavati R. Charantimath Public School, Dharwad","0836 2743302"
"Kittur Rani Channamma Residential Sainik School For Girls, Belgaum","08288286237"
"St. Charles High School, Bangalore Rural","080 25421900"
"St. Charles High School, Bengaluru","080-25421900, 080-25451149"
"Chandrakant Patil Eng Med School, Gulbarga","08472 247946, , 47772 08472-247789"
"National Public School, Chikkabanavara","08028391155"
"Vinay Chikkatti School, Gadag","08372218838, +919448007467"
"Navy Children School, Uttara Kannada","08362 231326 , 08861757525"
"Chinmaya Vidyalaya, Bengaluru","080-25538341, 080-25525287"
"Sos Tibetan Childrens Village, Mysore","08223 54447 , 74937 74937"
"Chinmaya Vidyalaya, Mandya","08232 291234"
"Chinmaya English Primary School, Dharwad","08284 0836-2353351 , 28562544"
"Chitrakoota School, Bangalore Urban","080-23145266"
"Christ School, Bengaluru","080-26684053"
"Christ School, Udupi","08284 08202575566, 08202570443 , 28562544"
"Christ International School, Kolar","08151-238778, 08151-238779"
"Christ School, Hassan","08284 08172 245225 , 28562544"
"Chrysalis High, Bengaluru",""
"Sai City International School, Bangalore Urban","9243602463"
"Christ Public School, Mysore","+91 821 2598202"
"Citizen's Public School, Mysore","0821 226106 , 341480"
"Global City International School, Bangalore Urban","8025349188"
"Vibgyor High, Electronic City","080 - 3328 0500"
"CKS English School, Hassan","0120 08172232732 , 2758565"
"Global City International School, Bangalore Urban","+91 80 25349199"
"Clarence Public School, Bengaluru","080-26584245, 080-26494420"
"Cluny Convent High School, Bengaluru","080-23346536"
"Clarence High School, Bengaluru","080-46334633, 080-46334634"
"Kendriya Vidyalaya, DRDO Complex","+91 080 25243919"
"Cmr National Public School, Bangalore Urban","080 25440693, 25440854 , 5440854 25459595"
"Daffodils Concept School, Raichur","08535-200238"
"Race Concept School, Raichur","08532240884"
"Sandur Res. Composite JR College, Bellary","08395 60246 , 60319"
"Royale Concorde International School, Kalyan Nagar,","080 2543 5454/55, 080 2543 5458/59"
"Royale Concorde International School, Yelahanka","080 29720700, 09620007615, 09620007613"
"Gurukul Concept School, Bellary","0839 2656594 , 6637959"
"St. Mary's Convent School, Bengaluru","080-25781059"
"V.E.S. Model Convent, Bengaluru","080-28434407, 080-28430305"
"St. Theresa Convent School, Belgaum","01975 08333 263522"
"Concorde International School, Mandya","9482430093"
"Sacred Heart Convent School, Udupi","0460 08254-259206,206206 , 0460 2204166"
"Coorg Public School, Kodagu","08274-247011, 08274-247881"
"Green Country Public School, Bengaluru","080-23534259, 080-23432549"
"Holy Cross School, Bangalore Urban","08284 080-28454604 , 28562544"
"Kendriya Vidyalaya, CRPF","080-28567017"
"Daffodils English School, Bengaluru","080-23418188, 080-32483095"
"Notre Dame School, Mysore","0821-2402856"
"Daffodils School of Education, Bijapur","08352 276965 , 276159"
"Guru Darshan Public School, Bangalore Urban","080-26589300"
"St. Mary's Public School, Dasarahalli","080-28392711, 22791074"
"Sri Dattagiri Maharaj Public School, Bidar","08482 229840"
"DAV Public School, Gulbarga","08476 62314 , 62684"
"Dayananda Sagar International School, Bengaluru","080-26662226, 26665463, 2769-42161769"
"Deccan International School, Bangalore Urban","080-26393704"
"St. Francis De Sales Public School, Bengaluru","080-27831451, 09481402204"
"Deepalaya School, Bidar","08485-287638"
"Deeskha High School, Bangalore Urban","080-27837111"
"Delhi Public School, Dakshina Kannada","0824 -2884792/2884780/224781"
"De Paul Public School, Mysore","08212904796"
"Delhi Public School, Bangalore Urban","08032213049"
"Delhi Public School, Mysore","+91-821-2471002, 2471003, +91-821-2471004"
"Demonstration School, Mysore","0821 512570 , 412651"
"Vimal V Deshpande School of Excellence, Uttara Kannada","08284 221300 , 28562544"
"SMT Shantabai Deshpande Public School, Belgaum","08289289222"
"Dev-in National School, Bangalore Urban","08023535678"
"Sri Devaraj Urs Internatonal Residential School, Bangalore Urban","080 7670521 , 0807626801"
"Guru Nanak Dev Public School, Bidar","08482 223883 , 228273"
"Shree Dhanraj Phoolchand Hindi High School, Bengaluru","080-25548780"
"Shri Dharmasthala Manjunatheshwara English Medium School, Dakshina Kannada","01681 08256-236488 , 22273"
"Shanti Dhama English Higher Primary School, Bengaluru","080-23484244, 080-23286867"
"Diana Public School, Bangalore Urban","0471 08028444469 , 4552909"
"Sri Puranmal Shrenikraj Dhoka Jain School, Gulbarga","08473 651106 , 3391"
"Dnyan Prabodhan Mandir, Belgaum","0831-6512280, 0831-6512281"
"Divine English School, Bengaluru","080-41273278, 080-23379188"
"Dolphin's Public School, Kolar","08158 254549"
"Sri Sathya Sai Divya Jyothi Vidya Kendra, Chikkamagaluru","08265245524"
"Kendriya Vidyalaya, Donimalai","08395-274604"
"St. Dominic's School, Bengaluru","080-26394233"
"DR.M.ramanna Shetty Memorial English Medium High School, Dakshina Kannada","080 0824-- 2296252 , 6637959"
"SMT. Drakshayani Kalyanshettar Public School, Dharwad","01493 0836-2355203 , 519757-59"
"MC' Nay Doon's Public School, Bengaluru","080-23639735"
"R.T.N.E.T. Public School, Bengaluru","080-22796660, 080-28468533"
"N.E.T. Public School, Bengaluru","080-65905978, 080-65761345"
"K L E English Medium School, Belgaum","080 222860, 222660 , 84322"
"K L E Society's English Medium School, Haveri","08375 236915"
"Dream World School, Bellary","08392 254052 , 257183"
"J E T School, Bangalore Urban","08110 26323953 , 7840863"
"K L E's International School, Belgaum","0839 08312404040 , 6637959"
"K.L.E Society's Primary School, Gadag","08372 - 232615"
"M.E.S. School, Chikkamagaluru","08263221300"
"S.V.E.I.school, Mysore","05722 0821-2598122 , 231751"
"P.E.S. Public School, Shimoga","08182 640818, 640800"
"M.E.S English School, Bangalore Urban","080-32532969"
"K.L.E. Societys School, Belgaum","08394 08338- 254984 , 656593"
"K L E Society's M.r. Sakhare English Medium Shcool., Dharwad","080 2372080 , 2377256 28562544"
"K.l.e. Society's English Medium School, Dharwad","080 0836-2335055 , 28562544"
"K L E Societys School, Bangalore Urban","080 23429807 , 23315293"
"Narayana E-techno School, Marathahalli","080-28476662"
"Narayana E-techno School, Nagarbhavi",""
"K.l.e. Society's School, Belgaum","08330223566"
"Narayana E-techno School, RT Nagar","080-42287328"
"Narayana E-techno School, Koramangala","080-25525656"
"Narayana E-techno School, Kaggadaspura",""
"Narayana E-techno School, Vidyaranyapura","8722260955"
"Narayana E-techno School, Mandur","080-28470684"
"K.l.e School, Dharwad","(0836) 2441971"
"Narayana E-techno School, Bellary","08392-258849,"
"Narayana E-techno School, Yelchanahalli","080-26861144"
"M. E. S. Kishore Kendra Public School, Bengaluru","080-23641567, 080-23641565"
"The Eastwood High School, Bengaluru","080-25363923"
"The Great Eastern International Public School, Bangalore Urban","08023286732"
"Narayana E-techno School, Ramamurthy Nagar","080-65354525/24"
"Ebenezer International School, Bangalore Urban","080-27848222, 080-27848223"
"SJES Education Institution, Bangalore Urban","080-6568 4768 2561 1169, 3290 1997"
"Edify School, Bangalore Urban","08028432644"
"Ekya School, Bangalore Urban","080 65971312"
"Ekya School, Bengaluru","080-26588585, 080-65391166"
"Parivarthan Elite English Medium School, Dharwad","08370283504, 08370283502"
"Ellen School, Mandya","080 08234-286417 , 0807626801"
"Laxmidevamma Kavalappa Reddy Eng Med Higher Primary School, Mandya","01275 05946 -234634"
"St. Paul's English School, Bengaluru","080-26582710, 080-26584619"
"St. Mira's English School, Bengaluru","080-23158522, 080-23305757"
"Embassy Public School, Bengaluru","080-23580252, 080-23580253"
"New Public English School, Bengaluru","080-23351087, 080-23400488"
"Jyothi English Medium School, Kolar","08154-290584"
"St. Philomena's English Primary School, Bengaluru","080-23456443, 080-41636086"
"Miranda English Medium School, Bengaluru","080-25281760, 080-25253284"
"The Oxford English School, Bangalore Urban","080-30410501, 080-30410508"
"St. Flowers English Medium School, Bengaluru","080-23409832, 080-23409884"
"St. Philomena's English School, Bengaluru","080-27805482"
"Parivarthan Gurukul Heritage English Medium School, Dharwad","09902263922, 09908849422"
"Martin Luther English School, Bengaluru","080-26729030, 080-26420970"
"Kenneth George English School, Bengaluru","080-23533329"
"Green Valley English School, Bengaluru","080-65834403, 080-65834404"
"Shri Mahavir Residential English Medium School, Belgaum","08331 225730 , 45730 225252"
"Nightingales English School, Bengaluru","080-26482213"
"SMT P S Shivashankarappa English Medium Res, Davanagere","08192 84423 , 84422 84322"
"S M S English Medium School, Udupi","0820 2560193 , 2562693"
"Lady Vailankanni English School, Bengaluru","080-28538201, 080-25969179"
"M.H.national Public English School, Bangalore Urban","080-27276346, 27274253"
"Vishwa Vinayaka National English Medium School, Udupi","08284 08537 258222 , 28562544"
"Saint Paul's English School, Koppal","09448777864"
"Vishwachetana Vidyaniketana Residential English Medium High School, Davanagere","08192-294626"
"Shivshankar Jolle English Medium Public School, Belgaum","08338-276164"
"K J Somaiya English Medium School, Bagalkot","0835 260138"
"S V Sunrise English Primary School, Bangalore Urban","080-23203954"
"St. Mary's English Medium School, Udupi","0820-2524455"
"St Thomas English Medium Higher Primary School, Mysore","0821 481932 , 480523"
"Sri Kalora Lingeshwar English Medium School, Bidar","08483270015"
"Mket's Lakshmanrao Kriloskar English Medium School, Davanagere","08192 272730 , 240486"
"Nitk English Medium School, Dakshina Kannada","08284 (0284)2474850 , 28562544"
"S. S. (k) Patil English Medium School, Belgaum","08333273501"
"Green Valley English School, Bangalore Urban","08065834404"
"Vidyavardhaka English Medium School, Udupi","0820 2576978"
"Sri M.y.ghorpade English Medium Higher Primary School, Bellary","08397-238668"
"Sri K. V. English School, Kolar","08156-263070, 08156-309582"
"Eshwar Vidyalaya, Mysore","09845088466"
"St Peter English Medium School, Belgaum","040 08331257344 , 140117081"
"Euro School, Yelahanka","080-22796282"
"M G School For Excellence, Bengaluru","080-26485985, 080-65628565"
"Excel Public School, Mysore","0821-4002288"
"Hongirana School of Excellence, Shimoga","08183 295640"
"Euro School, Hesaraghatta","08065000604"
"Viveka School of Excellence, Mysore","08228263981"
"Vydehi School Of Excellence, Bangalore Urban","8032420204"
"Gnan Srishti School Of Excellence, Bengaluru","080-22582002, 080-22581845"
"S. F. S. Primary School, Koppal","08539225026, 08539225027"
"Excellent Public School, Bagalkot","08350240111"
"Federal Public School, Bengaluru","080-28567277, 080-28567909"
"Little Flower Public School, Bangalore Urban","080-26421964, 080-26422696"
"Florence Public School, Bengaluru","080-23531747, 080-23333938"
"Sri Renuka Fondation School, Gulbarga","08470290098"
"Sri Renuka Foundation School, Belgaum","08330277720"
"St. Francis School, Koramangala","+91-80-25531076, +91-80-25500123"
"St. Francis Icse School, Chamarajanagar","08226-224715"
"St. Francis School, Mysore","0821 2598608"
"St. Francis Xavier Girls' High School, Bengaluru","080-25368222"
"St. Francis School, Hongasandra","080-25731347"
"Frank Public School, Bangalore Urban","080-26644696"
"Fusco's School, Bengaluru","080-25211025"
"Freedom International School, Bangalore Urban","25729825 / 25729826 / 32002581"
"K.V.G International Public School, Dakshina Kannada","08257 231100 , 230148"
"S G International Public School, Bangalore Urban","080 23497428 , 23497019 011-27452444"
"S. G. M. Public School, Bengaluru","080-25905944, 9036722282"
"G M Vidyanikethan Public School, Udupi","+91 820 2590399"
"Gadag Public School, Gadag","08372-23007, 218033"
"Mahatma Gandhi Public School, Belgaum","9449518906"
"Rajiv Gandhi Vidyalaya, Dharwad","0836-2747763"
"Mundlur Gangappa Memorial School, Bellary","0821 08392230115 , 28562544"
"Gangothri International Public School, Bangalore Urban","08284 080-23584897 , 28562544, 22748183"
"Ganga International School, Bengaluru","080-28397029, 080-22757943"
"Jaigopal Garodia Rashtrotthana Vidya Kendra, Bangalore Urban","01559 08025665133 , 222292"
"M.r. Ganiger International Public School, Bagalkot","9611588369"
"Gear Innovative International School, Bangalore Urban","080 28440919 , 28439349"
"Geetanjali Vidyalaya, Bangalore Urban","09180 25272351 , 25272357"
"Gem International Residential School, Chikkaballapur","08155 289752/53"
"St. Germain High School, Bengaluru","080-25511353"
"Geetanjali Lower Primary School, Bangalore Urban","08065475559"
"General Thimmaiah Public School, Kodagu","08272-224830"
"Sacred Heart Girls' High School, Bengaluru","080-22211237"
"Sandur Girls Residential School, Bellary","08394-244146"
"Shri Ghanamatheshwar International Public School, Bijapur","9448237435"
"Mark Global School, Bangalore Urban","0816 2243678 , 2243769"
"Whitefield Global School, Bangalore Urban","080 28453443"
"Gitanjali International School, Bangalore Urban","+91 80 25272357"
"Knc Innovative Global School, Mysore","08212402929"
"Ideal Global School, Bidar","0341 08481-252099 , 03412515679"
"Gnana Jyothi School, Kolar","09242613860, 09449218508"
"Spurthy Global School, Bengaluru",""
"Jain Global School, Kolar","08153-290100"
"Gnyana Sudha Vidyalaya, Bidar","+91-8482-228816"
"Gopalan International School, Bengaluru","080-40936034, 080-42184340"
"Gopalan National School, Bengaluru","080-41554091, 080-655995703"
"Gnanodaya Public School, Mandya","08236-292692, 08236-292694"
"National Public School, Gottigere","080- 40250582, 080- 40250584"
"Gr International School, Bangalore Urban","08028427442"
"Prakriya Green Wisdom School, Bangalore Urban","080-28440925, 080-65636391"
"Greencity International School, Kolar","9448789080, 9482766608"
"Thaiba Greenways School, Davanagere","09980858246"
"Greenwood High, Bangalore Urban","080-27822888, 080-27802658"
"Guru Nanak Public School, Bidar","08482 25282 , 27921"
"Nalanda Gurukul International, Mysore","9379866800"
"Gurukul Public School, Udupi","082 54262827 , 01824-221624"
"Nalanda Gurukula International, Mysore","08223-258253"
"Gurukula International School, Hassan","08174 320510"
"New Horizon Gurukul, Bangalore Urban","08025639720"
"Shri Jagadguru Gurusiddheswar Kannada Primary School, Bagalkot","08357-250029"
"The J.H.S. School, Bangalore Urban","080-26696161"
"H.M.R. International School, Bangalore Urban","08025435599, 25436699"
"Sri Sai Gurukula Residendial School, Davanagere","08188-252948"
"Hal Public School, Bangalore Urban","080 25220762 , 080-25228817"
"Vibgyor High, Haralur Road","080 - 45314444"
"Hari Vidyalaya, Mysore","08284 0821-2598935 , 28562544"
"Harsha International Public School, Bangalore Urban","08028023507"
"Harvest International School, Bangalore Urban","9686199415"
"Hassan Public School, Hassan","08172-231222"
"Harward International School, Bangalore Urban","08284 080 - 23713436 , 28562544"
"JSS Public School, HBR Layout","080-25437788"
"Vibgyor High, Hennur","080 6900 1959"
"Sindhi High School, Hebbal","080-23621393/4"
"Jain Heritage School, Belgaum","08312483025"
"Jain Heritage School, Bangalore Urban","08027577201 , 9451645456,921127241"
"Sophia High School, Bengaluru","080-22266825"
"Tunbridge High School, Bengaluru","080-25582813, 080-25321785"
"St. Michael's High School, Bengaluru","080-28465281, 080-65972990"
"St. John's High School, Bengaluru","080-25361456, 080-25544477"
"Lowry Memorial High School, Bengaluru","080-28510069, 080-28517987"
"Lawrence High School, Bengaluru","080-25722777, 09845760764"
"Vibgyor High, Marathahalli","080 - 4277 7000, 080 - 3372 5600"
"Holy Saint High School, Bengaluru","080-26766903, 080-26769484"
"Mount Senoria School, Bengaluru","080-23720500"
"Mountain View Public School, Chikkamagaluru","08262223140"
"Mysore Public School, Mysore","0821-2597917, 0821-2597957"
"R. T. Nagar Public School, Bengaluru","080-23542040, 080-23535282"
"R.N.S. Vidyaniketan, Bengaluru","080-23397666, 080-23398922"
"Nagarjuna Vidyaniketan, Bangalore Urban","080 8564004 , 8561886 8460888,+919632734433"
"Shree Nandi Residential Public School, Bellary","08393-263099, 08393-213966"
"Nandy School, Bellary","08392 40201 , 40095"
"Nandini Vidyanikethana, Bangalore Rural","080-27668811, 080-27665427"
"National Residential School, Shimoga","08181-796344, 08185-551102"
"Sarvodaya National Public School, Bengaluru","080-23303772, 080-2350790"
"National Public School, Haveri","08284 08373-261182 , 28562544"
"National Public School, Bengaluru","080-7801684"
"National Public School, Shimoga","8182-223225, 640099"
"National Public School, Purandarapura","+91-080-23350361/23156772"
"Tattva School, Bangalore Urban","080-33627052"
"Treamis World School, Bangalore Urban","080 27803006, 27839651"
"Shriniketana School, Uttara Kannada","0712 08384-223011 , 33663"
"Trio World School, Bangalore Urban","+91-80-40611222"
"Swamy Vivekananda Vidyaniketana School, Bangalore Urban","080-7820777"
"Sri Siddaganga School, Davanagere","08192 232816"
"Shantha Vidyaniketan, Chikkaballapur","7259233555"
"Sharada Vidyalaya, Dakshina Kannada","0824 492628 , 493089 215560"
"Shikshkarnicentralschool, Mysore","0821-4288023"
"Vasavadatta Vidya Vihar, Gulbarga","08441 76005 , 76389"
"The Summit, Chikkamagaluru","08262 210300"
"Vasavi Vidayalaya, Shimoga","08182223979"
"Shubhodaya Vidyalaya, Dakshina Kannada","01975 0824-2262115"
"Vishwa Vidyapeeth, Bengaluru","23095606, 9845053065"
"Yashasvi Vidyanikethan, Bangalore Urban","080-32326330"
"Sindhi High School, Bangalore Urban","+91-80-22261509 | +91-80-22282161"
"Sri Lakshmi Janardhan High School, Udupi","08258 274555 , 274666 285127"
"Pavithra High School, Bangalore Urban","080 28389377 , 23571265 020-25511001"
"Shiksha Sagar High School, Bangalore Urban","080 - 23410467"
"Saandipini High Tech School, Bangalore Urban","080 57676427"
"Vibgyor High, Kadugodi","080 - 3374 3300"
"Sherwood High, Bengaluru","08028429731"
"K.M.V.red Hills High School, Bangalore Urban","080-65470080"
"Vibgyor High, Horamavu","080- 33206100"
"Vibgyor High, Jakkur","080 - 3315 9400"
"Holy Shephard Higher Primary School, Bidar","01262 08482240080 , 9416338657"
"Vibgyor High, Yelahanka","080 69001953"
"National Hill View Public School, Bangalore Urban","8602487 , 5454215"
"Sri Siddaganga Higher Primary School, Bangalore Urban","080 23397600 , 9886945919"
"HMS Public School, Tumkur","0816 2214304, 2214309, 2214313"
"HKS International School, Hassan","08172-240180"
"Holy Spirit School, Bengaluru","080-26493037"
"Presidency School, HMT Layout","080-42351167/68 / 23335860"
"New Horizon Public School, Bangalore Urban","080-25261021"
"Kendriya Vidyalaya, Hospet","08394 739587, 08394-259587"
"Innisfree House School, Bangalore Urban","080-26597110, 080-26596005"
"JSS Public School, HSR Layout","+91-80-22970133; Principal: +91-80-22970108"
"Treamis World School, Hulimangala","+91 (80) 2783 9653/52"
"India International School, Bangalore Urban","+91 8028439001/002"
"National Public School, HSR Layout","080 - 2572 9406 / 08 / 10"
"Mary Immaculate School, Bengaluru","080-22237022"
"Indian Public School, Bangalore Urban","01681 080-25283886 , 22273"
"Little Rock Indian School, Udupi","0820 2561199 , 62400 2561188"
"Little Star's Indian School, Dakshina Kannada","08258-237900"
"Indian International School, Chitradurga","08194235252"
"St.lawrence Indian School, Dakshina Kannada","(0824) 2297455"
"National Public School, Indira Nagar","091-080-25280611, 25275665"
"New Indus Valley Residential School, Bengaluru","080-64541682, 080-65703784"
