School Name,Phone,Address
"The Madani Public School Bangalore, Karnataka","0802-5303504","18 Bradshaw st NagarColes Park BANGALORE(Dist) Karnataka Pincode - 560051"
"The Manik Public School Bidar, Karnataka","08483 - 270257","Manik NagarHumnabad BIDAR(Dist) Karnataka Pincode - 585353"
"The New Cambridge Public School Mysore, Karnataka","08222 - 252533","8 Maruthi ExtensionHunsur MYSORE(Dist) Karnataka Pincode - 571105"
"The Presidency Public School Tumkur, Karnataka","08135 - 277961","Gurukula CampusAmarapura RoadSira TUMKUR(Dist) Karnataka Pincode - 572137"
"The Regency Public School Bangalore, Karnataka","080 - 23642370","5/1 A.M.S.ExtensionVidyaranyapura BANGALORE(Dist) Karnataka Pincode - 560097"
"Tippasandra Oxford Public School Bangalore, Karnataka","080 - 25282890","32 Church RoadNew Tippasandra BANGALORE(Dist) Karnataka Pincode - 560075"
"Triveni Public School Bangalore, Karnataka","080 - 23721148","28/29 Hesarghatta Main RoadMallasandra BANGALORE(Dist) Karnataka Pincode - 560057"
"Venkat International Public School Bangalore, Karnataka","080 - 23502735","19/A/1913/2 Kb Temple Street6th Street Rajaji Nagar BANGALORE(Dist) Karnataka Pincode - 560010"
"Venus International Public School Bangalore, Karnataka","080 - 65354403","19/A 19 B/2 K.B. Temple Street6th BlockRajajinagar BANGALORE(Dist) Karnataka Pincode - 560010"
"Vidyaniketan Public High School Bangalore, Karnataka","080 - 23240364","Near To Bangalore University CampusUllal Road CrossUllal Upanagar BANGALORE(Dist) Karnataka Pincode - 560056"
"Vidya Sanskaar International Public School Bangalore, Karnataka","","-"
"Vidyaniketan Public School Bangalore, Karnataka","080 - 23211364","Ullal Road CrossUllal Upanagar BANGALORE(Dist) Karnataka Pincode - 560056"
"Vidyasagar Public School Bangalore, Karnataka","080 - 23395591","50 BCC Layour2nd Stage Vijaya NagarNear Water Tank BANGALORE(Dist) Karnataka Pincode - 560040"
"Vidyanjali Public School Bangalore, Karnataka","080 - 23544891","Cholanayak HalliRt. Nagar BANGALORE(Dist) Karnataka Pincode - 560032"
"Vijayashree Public School Bangalore, Karnataka","080 - 65612169","MallasandraT. DasarahalliHesaraghatta Main RoadOpp. to MEI Layout BANGALORE(Dist) Karnataka Pincode - 560057"
"Vinayaka Public School Bangalore, Karnataka","080 - 28478544","1st MainVinayakanagarBagalur CrossYelahanka BANGALORE(Dist) Karnataka Pincode - 560063"
"Dolphin Play School And Creche Bangalore, Karnataka","25538640","No.526 17th D Main6th Block Koramangala BANGALORE(Dist) Karnataka Pincode - 560034"
"Bright Skills Preschool In Davangere Davangere, Karnataka","9611411971","351/1, 8th Main, 9th CrossBehind Motiveerappa College P J Extension DAVANGERE(Dist) Karnataka Pincode - 577002"
"Gaia Preschool And Child Care Centre, Rt Nagar Bangalore, Karnataka","(080)32405263 , 32405264","-"
"Edunurture Preschool In Koppal Koppal, Karnataka","91-9480151175 , 91-9035075080","MK Edusolutions LLP c/o Satish Reddy1st floor, 3rd CrossB T Patil Nagar KOPPAL(Dist) Karnataka Pincode - 587117"
"Happy Hours Play School Bangalore, Karnataka","080-25533378","546 8th Main 4th BlockKoramangala BANGALORE(Dist) Karnataka Pincode - 560027"
"Jumbo Kids Preschool In Hassan Hassan, Karnataka","98441 53443 , 98440 53555","784, Sri Nanjundeshwara Nilaya5th Cross, K.R.Puram HASSAN(Dist) Karnataka Pincode - 573201"
"Hello Kids Preschool In Koppal Koppal, Karnataka","8147414769 , 9986576162","1st floor, ullati buildingChannamma circle KOPPAL(Dist) Karnataka Pincode - 590001"
"Kangaroo Kids, Indiranagar Bangalore, Karnataka","080 41154678","st Cross Roadindira Nagar BANGALORE(Dist) Karnataka Pincode - 560034"
"Kids Campus Preschool In Davangere Davangere, Karnataka","990378196 , 9008440879","2035/ 214, 12th CrossAnjaneya Badavne DAVANGERE(Dist) Karnataka Pincode - 577004"
"Kara4kidz Bangalore, Karnataka","","4th Main, 6th CrossJayamahal ParkOff Nandidurga Road BANGALORE(Dist) Karnataka Pincode - 560046"
"Kids Campus Preschool In Mysore Mysore, Karnataka","9482808333","813, Gokulam ontour RoadVV Mohala MYSORE(Dist) Karnataka Pincode - 570002"
"Kidzee Wilson Garden Bangalore, Karnataka","080-22113114 , 9886378361","No.467/15,13th Cross, Wilson Garden BANGALORE(Dist) Karnataka Pincode - 560027"
"Little Kidz Preschool In Chitradurga Chitradurga, Karnataka","91-8193-223346","Below Corporation BankVasavi Colonychallakere CHITRADURGA(Dist) Karnataka Pincode - 577522"
"Neev, Indiranagar Bangalore, Karnataka","080 41300836","HAL 2nd Stage Opp. BSNL office BANGALORE(Dist) Karnataka Pincode - 560008"
"Podar Jumbo Kids Preschool In Shimoga Mysore, Karnataka","08182-265991 , 98861 00991 , 97426 66991","‘Zeen Villa’, 2nd Cross, 2nd StageNear Vikasa School, Police ChowkiVinobha Nagar MYSORE(Dist) Karnataka Pincode - 577204"
"Roots To Wings Preschool In Shimoga Mysore, Karnataka","9880368519","60 ft Road, VinobhanagarNear Shaneshwara temple MYSORE(Dist) Karnataka Pincode - 577201"
"Shemrock Sunshine Play School Bangalore, Karnataka","","445/A 18th Main 6th BlockKoramanglaBangalore BANGALORE(Dist) Karnataka Pincode - 560095"
"St Josephs Nursery School In Mysore Mysore, Karnataka","91-(821)-2518450","Temple Roadjayalakshmipuram MYSORE(Dist) Karnataka Pincode - 570012"
"Tinytots Nursery School Bangalore, Karnataka","25531978","443 8th Main 4th BlockKoramangla BANGALORE(Dist) Karnataka Pincode - 560027"
"Treehouse Preschool In Mysore Mysore, Karnataka","9900747210 , 9036027210","No 2629/1, Temple Main RoadVV Mohalla, Opp Police Station MYSORE(Dist) Karnataka Pincode - 570002"
"Vilma Day Care Bangalore, Karnataka","","782 5th Cross4th Block Koramangala BANGALORE(Dist) Karnataka Pincode - 560034"
"Akash International Residential School Bangalore, Karnataka","","Prasannahalli RoadNear Bangalore International AirportDevanahalli Town BANGALORE(Dist) Karnataka"
"Ananth International School Hassan, Karnataka","08174 - 233348","-"
"B.G.S. International Residential School Bangalore, Karnataka","080 - 28437653","NithyanandanagarKengeri HobliGollahalli Post BANGALORE(Dist) Karnataka Pincode - 560060"
"Bangalore International Public School Bangalore, Karnataka","080 - 26664446","#58/2Subramanyapura Main RoadChikkallasandra BANGALORE(Dist) Karnataka Pincode - 560061"
"Ashok Lnternational Public School Bangalore, Karnataka","080 - 23452999","KammagondanahalliJalahalli West BANGALORE(Dist) Karnataka Pincode - 560015"
"Bright Kids International Pre School Bangalore, Karnataka","080 - 26581407","Arake Road2nd Left CrossBehind Matri Pradise FkatsBannerghatta Road BANGALORE(Dist) Karnataka"
"Canadian International School Bangalore, Karnataka","080 - 42494444","4&20 ManchenahalliYelahanka BANGALORE(Dist) Karnataka Pincode - 560064"
"De Paul International Residential School Mandya, Karnataka","0821 - 3290401","BelagolaSrirangapatna Taluk MANDYA(Dist) Karnataka Pincode - 571606"
"Deva Matha Central School Bangalore, Karnataka","080 - 23643752","VidyaranyapuraOpposite Canara BankDoddabommasandra BANGALORE(Dist) Karnataka Pincode - 560097"
"Deccan International School Bangalore, Karnataka","080 - 26393704","PadmanabhanagarChikkalasandraUttarahalli Main Road BANGALORE(Dist) Karnataka Pincode - 560061"
"Ebenezer International School Bangalore, Karnataka","080 - 27848222","Singena Agrahara RoadVia Huskur Road BANGALORE(Dist) Karnataka Pincode - 560099"
"Federal Public School Bangalore, Karnataka","080 - 66534665","No.27 Opp KNS ENG CollegeTirumenahalliThanisandra MN RDYelahanka BANGALORE(Dist) Karnataka Pincode - 560064"
"Ekya School Bangalore, Karnataka","","No.16, 6TH B Main3RD PhaseJ P Nagar BANGALORE(Dist) Karnataka"
"Gangothri International Public School Bangalore, Karnataka","080 - 23584897","Rajivgandhi NagarVishwaneedamNear Sunkadakatte BANGALORE(Dist) Karnataka Pincode - 560091"
"Gear Innovative International School Bangalore, Karnataka","080 - 28440919","No. 175 GEAR RoadDoddakannellioff Sarjapur RoadOuter Ring Road BANGALORE(Dist) Karnataka Pincode - 560035"
"Gem International Residential School Chikballapur, Karnataka","08155 - 289752","BevenhalliT.M. RoadAlipur CHIKBALLAPUR(Dist) Karnataka Pincode - 516224"
"Gitanjali International School Bangalore, Karnataka","080 - 25272357","ChikkasagarahalliOff Nandi Hills RoadNear Bangalore International Airport BANGALORE(Dist) Karnataka Pincode - 562103"
"Gopalan International School Bangalore, Karnataka","080 - 40936034","Behind SAP LabsSeetharam PalyaBasavanagarHoodi BANGALORE(Dist) Karnataka Pincode - 560048"
"Green Valley Educational Institution Mandya, Karnataka","","# 36 Jakkankuppe VillageBelagola HobliHosahalli Post MANDYA(Dist) Karnataka Pincode - 571438"
"Gopalan National School Bangalore, Karnataka","080 - 41554091","No.13Doddenakundi ll PhaseBrookefield Road BANGALORE(Dist) Karnataka Pincode - 560048"
"Greenwood High International School Bangalore, Karnataka","080 - 27822888","No.8-14ChickkawadayarapuraNear HeggondahalliGunjur Post BANGALORE(Dist) Karnataka Pincode - 560087"
"India International School Bangalore, Karnataka","080 - 28439001","Dooravani Nagar PostCarmelram Post BANGALORE(Dist) Karnataka Pincode - 560037"
"Indus International School Bangalore, Karnataka","080 - 22895900","Billapura CrossSarjapur BANGALORE(Dist) Karnataka Pincode - 562125"
"Iti Central School Bangalore, Karnataka","080 - 28503867","Doorvaninagar BANGALORE(Dist) Karnataka Pincode - 560016"
"Jain International Residential School Bangalore, Karnataka","080 - 27577050","Jakkasandra PostKanakapura BANGALORE(Dist) Karnataka Pincode - 562112"
"Jnanasarovara International Residential School Mysore, Karnataka","0821 - 2479814","ParashuramanagaraBhugathahalliBannur Road MYSORE(Dist) Karnataka"
"K.V.G. International Public School Dakshina Kannada, Karnataka","08257 - 313700","KurunjibhagSullia DAKSHINA KANNADA(Dist) Karnataka Pincode - 574327"
"Kara Preschool And Daycare Centres Bangalore, Karnataka","080 - 42017455","Jayamahal ParkNandidurga Road BANGALORE(Dist) Karnataka Pincode - 560046"
"Mallya Aditi International School Bangalore, Karnataka","080 - 40447000","Yelahanka BANGALORE(Dist) Karnataka Pincode - 560064"
"Mastery International School Bangalore, Karnataka","","No.3/1 Near Coca Cola FactorySahakaranagarKodigehalli BANGALORE(Dist) Karnataka Pincode - 560092"
"Oasis International School Bangalore, Karnataka","080 - 28445186","Survey No 90/2KadusomapannahalliBidarahalli BANGALORE(Dist) Karnataka Pincode - 562149"
"Nitte International School Bangalore, Karnataka","080 - 65684111","P.O Box No. 6429#12 MylappaanahalliYelahanka BANGALORE(Dist) Karnataka"
"Optimum International School Bangalore, Karnataka","06272 - 250398","Mir Gheyas ChakMillat CollegeWest Road BANGALORE(Dist) Karnataka Pincode - 560005"
"Podar International School Hassan, Karnataka","08172 - 245855","Near Akashavani Behind Krishna law collegeSalagama Road HASSAN(Dist) Karnataka"
"Podar International School Bangalore, Karnataka","080 - 32470252","No. 3/2 HommadevanhalliBegur HobliBehind T.John College BANGALORE(Dist) Karnataka Pincode - 560083"
"Prayag Montessori Bangalore, Karnataka","080 - 65651066","5th Main RoadOff Inner Ring RoadNear D.G.HopitalPadmanabhanagar BANGALORE(Dist) Karnataka Pincode - 560038"
"Primus Public School Bangalore, Karnataka","080 - 25741450","Post Box No. 21ChikanayakanahalliOff. Sarjapur Road BANGALORE(Dist) Karnataka Pincode - 560035"
"R.M.S. International School Bangalore, Karnataka","080 - 26662190","#18 Srinivasa Industrial EstateKanakapura road BANGALORE(Dist) Karnataka Pincode - 560062"
"Royal Concorde International School Bangalore, Karnataka","080 - 25435454","2nd BlockHRBR Layout6th B MainKalyan Nagar BANGALORE(Dist) Karnataka Pincode - 560043"
"Royale Concorde International School Bangalore, Karnataka","080 - 28461419","No 38Attur BANGALORE(Dist) Karnataka Pincode - 560043"
"Ryan International School Bangalore, Karnataka","","AECS LayoutKundalahalli GateBhd Hindustan Lever LtdMarathahalli Colony BANGALORE(Dist) Karnataka"
"S.E.A. International School Bangalore, Karnataka","080 - 25613741","Ekta NagarBasavanapuraK.R.PuramVirgo Nagar BANGALORE(Dist) Karnataka Pincode - 560049"
"S.G. International Public School Bangalore, Karnataka","080 - 23497428","#CA18 Nandhini LayoutSaraswathipuram BANGALORE(Dist) Karnataka Pincode - 560096"
"Sanganabasava International Residential School Bijapur, Karnataka","8352 - 236180","P.O.box no 24KavalgiBijapur-Gulbarga Road BIJAPUR(Dist) Karnataka Pincode - 586127"
"Shree Swami Narayan Gurukul International Bangalore, Karnataka","","Kumbalgodu BANGALORE(Dist) Karnataka"
"Shri Ranganath International School Bagalkot, Karnataka","8470 - 8147427275","Badami RoadShigikere BAGALKOT(Dist) Karnataka Pincode - 587111"
"Silas International School Udupi, Karnataka","0820 - 2582607","HanumanthanagarPuttur UDUPI(Dist) Karnataka Pincode - 576105"
"Sorsfort International School Bangalore, Karnataka","080 - 65649999","#90 Electronic CityPhase-1Near H.P. OfficeHosur Road BANGALORE(Dist) Karnataka Pincode - 560100"
"South East Asian International School Bangalore, Karnataka","080 - 25613741-42","K.R. PuramHobliVirgo Nagar BANGALORE(Dist) Karnataka Pincode - 560049"
"Srishti International Montessori Play School Bangalore, Karnataka","080 - 28441972","#32 SrishtiKaikondrahalliCarmelaram postSarjapur Road BANGALORE(Dist) Karnataka Pincode - 560035"
"Sri Ranganath International School Bagalkot, Karnataka","08354 - 201201","#54/1Belgaum- Raichur RoadShigikeri BAGALKOT(Dist) Karnataka Pincode - 587111"
"Stonehill International School Bangalore, Karnataka","91 9964985752","No: 259/333/334/335Bettahalsuru VillageJalahobli BANGALORE(Dist) Karnataka Pincode - 56001"
"Suryodaya International Public School Bangalore, Karnataka","080 - 28427407","No. 188DoddakallasandraKanakapura Main RoadUttarahalli BANGALORE(Dist) Karnataka Pincode - 560062"
"Sunrise International Residential School Bangalore, Karnataka","080 - 27833716","Lakshmi NarayanapuraBommasandraBehind APMC MarketAnekal BANGALORE(Dist) Karnataka Pincode - 560099"
"Swaminarayan International School Bangalore, Karnataka","080 - 32985000","KumbalgoduMysore Road BANGALORE(Dist) Karnataka Pincode - 560074"
"The Jain International School Kolar, Karnataka","","G.K.M. ComplexAC Abdul Ali RoadSeshachala Mudaliar Cross RoadBangarpet KOLAR(Dist) Karnataka Pincode - 563114"
"The International School Bangalore, Karnataka","080 - 22634900","N.A.F.L. ValleyWhitefield- Sarjapur RoadNear Dommasandra Circle BANGALORE(Dist) Karnataka Pincode - 562125"
"The Prajna International School Udupi, Karnataka","0824 - 2573016","Near Railway BridgeKunjibettuDoddanagudde UDUPI(Dist) Karnataka Pincode - 576102"
"Tibetan Children's Village School Mysore, Karnataka","08223 - 253464","BylakuppePeriyapatna MYSORE(Dist) Karnataka Pincode - 571104"
"Trio World School Bangalore, Karnataka","080 - 40611222","No. 3/5 Kodigehalli Main RoadSahakar Nagar BANGALORE(Dist) Karnataka Pincode - 560092"
"V.S.S. International Public School Bangalore, Karnataka","080 - 28482800","#78 Mysore Ring RoadNagadevanahalli BANGALORE(Dist) Karnataka Pincode - 560056"
"Vidya Sanskaar International Public School Bangalore, Karnataka","","-"
"Venkat International Public School Bangalore, Karnataka","080 - 23502735","19/A/1913/2 Kb Temple Street6th Street Rajaji Nagar BANGALORE(Dist) Karnataka Pincode - 560010"
"Vidyashilp Academy Bangalore, Karnataka","","42/3ShivanahalliYelahanka BANGALORE(Dist) Karnataka"
"Vidyavaridhi International School Tumkur, Karnataka","08133 - 321404","Suvarnamukhi CampusBallakatteHuliyar TUMKUR(Dist) Karnataka Pincode - 572218"
"Vyasa International School Bangalore, Karnataka","080 - 23451299","Sy.No. 101/2DoddabommasandraB.E.L. North GateVidyaranyapura BANGALORE(Dist) Karnataka Pincode - 560097"
"Wisdom International School Bangalore, Karnataka","080 - 22277510","New # 31 Norris RoadBrigade Road BANGALORE(Dist) Karnataka Pincode - 560025"
"Yashashvi International School Bangalore, Karnataka","080 - 28425474","ThalagatpuraKanakapura Main RoadDoddakallasandra BANGALORE(Dist) Karnataka Pincode - 560062"
"A.E.C.S. Pavan School Kolar, Karnataka","(081) 52222597","Bangalore-Chennai By-Pass Road P.C. Halli Extension Pavan NagarKolar KOLAR(Dist) Karnataka Pincode - 563101"
"A.E.C.S. Ramapriya School Kolar, Karnataka","(08159) 242156, 292241","Bangalore-Chittur Road MulbagalKolar KOLAR(Dist) Karnataka Pincode - 563131"
"Adhyayan Central School Mysore, Karnataka","(0821) 2476147","No.CA 2.Adishakthi RoadShakthi NagarUdayagiri MYSORE(Dist) Karnataka Pincode - 570019"
"Aditya Public School Bangalore Rural, Karnataka","(080) 27622700, (080) 27622700","Mythri Layout Sanjay Nagar Nelamangala Main Road DoddaballapurBangalore Rural BANGALORE RURAL(Dist) Karnataka Pincode - 561203"
"Amrita Vidyalayam Belgaum, Karnataka","(0831) 2443153, 2441284","71/1.Near Bhavani NagarMandoli RoadBelgaum BELGAUM(Dist) Karnataka Pincode - 590008"
"Amrita Vidyalayam Davangere, Karnataka","(08192) 226001","#1179/7Nijalingappa LayoutDavangere DAVANGERE(Dist) Karnataka Pincode - 577004"
"Amrita Vidyalayam Mysore, Karnataka","(0821) 2545985,2341711","114.7th Cross Bogadi II StageMysore MYSORE(Dist) Karnataka Pincode - 570006"
"Anjuman Urdu Primary School Gadag, Karnataka","(08372) 221789","Moulana Azad CampusVivekanand RoadMasari GADAG(Dist) Karnataka Pincode - 582101"
"B. Vasudeva High School Mysore, Karnataka","(0821) 2402738","Near B.E.M.L. FactoryKoorgalliMysore MYSORE(Dist) Karnataka Pincode - 571186"
"Ankita Montessori House Of Children Tumkur, Karnataka","","Ankita Montessori House of Children4th CrossKasturba RoadGandhi Nagar TUMKUR(Dist) Karnataka Pincode - 572102"
"B.G.S. Central School Mysore, Karnataka","(0821) 2463869","Adichunchanagiri Road KuvempunagarMysore MYSORE(Dist) Karnataka Pincode - 570023"
"B.V.B.S. Rajashree Vidya Mandir Gulbarga, Karnataka","(08441) 278221, 278222, 266166","Aditya NagarMalkhed RoadGulbarga GULBARGA(Dist) Karnataka Pincode - 585292"
"B.V.V. Sangma's Basaveshwar Bagalkot, Karnataka","(08354) 251064","BagalkotBagalkot BAGALKOT(Dist) Karnataka Pincode - 587101"
"Bachpan Koppal, Karnataka","9845314013","Plot no.20.PanchayathNo. 33-1-22/33-1-3.Venkateshwara ColonyOdderahattiGangavathi KOPPAL(Dist) Karnataka"
"Balodyana English School Mysore, Karnataka","(080) 2567513, 2567265","No.2807.Opp To Post Office2ND Main RoadJayanagar MYSORE(Dist) Karnataka Pincode - 560011"
"Bapuji High School Davangere, Karnataka","(08192) 293610","KunebelakereDavanagere DAVANGERE(Dist) Karnataka Pincode - 577601"
"Basavananda High School Bagalkot, Karnataka","(08350) 270534","21.Mahlingapur Temple RoadBagalkot BAGALKOT(Dist) Karnataka Pincode - 587312"
"Basaveshwar High School Gadag, Karnataka","(08372) 231937","Siddalinga NagarHudco ColonyGadag GADAG(Dist) Karnataka Pincode - 582103"
"Basel Mission Higher Secondary School Gadag, Karnataka","(08372) 246279","PB RoadGadag BetgeriGadag GADAG(Dist) Karnataka Pincode - 582102"
"Bethany Primary School Chickmagalur, Karnataka","(08263) 215221","BilagulaHesgal Post Mudigere TalukChikmagalur CHICKMAGALUR(Dist) Karnataka Pincode - 577132"
"Bharatesh English Medium School Belgaum, Karnataka","(0831) 2427560","Side BldgP.B. RoadBelgaum BELGAUM(Dist) Karnataka Pincode - 590003"
"Bharathi High School Mandya, Karnataka","(08232) 245773","Bharathi NagarMandya MANDYA(Dist) Karnataka Pincode - 571422"
"Bharathi Higher Primary School Mandya, Karnataka","(08232) 245773","Bharathi NagarMandya MANDYA(Dist) Karnataka Pincode - 571422"
"Bharatiya Vidya Bhawans Rajashree Vidya Mandir Gulbarga, Karnataka","(08472) 266166","Aditya NagarGulbarga GULBARGA(Dist) Karnataka Pincode - 585292"
"Bill Memorial English Medium School Bagalkot, Karnataka","(08350) 280006","H.K. RoadMudholMahalingour BAGALKOT(Dist) Karnataka Pincode - 587312"
"Bishop Sargant School Tumkur, Karnataka","(0816) 252092, 278538","Principal Name: Mrs Princess Franklyn Csivc Campus B H RoadTumkur TUMKUR(Dist) Karnataka Pincode - 572102"
"Bks Vidya Bhavan School Mysore, Karnataka","(0821) 2416106","1st Cross.1st StageVijaya NagarMysore MYSORE(Dist) Karnataka Pincode - 570017"
"Chandrakant Patil English Med. School Gulbarga, Karnataka","(08472) 247946, 247772","Gulbarga GULBARGA(Dist) Karnataka Pincode - 585105"
"Chetana High School Udupi, Karnataka","(0824) 2584227","HungarkattaPost UdupiUdupi UDUPI(Dist) Karnataka Pincode - 576218"
"Chethana Special School Udupi, Karnataka","(08258) 233166","SVT.School RoadUdupi UDUPI(Dist) Karnataka Pincode - 574104"
"Chimes Montessori House Of Childran Bangalore Rural, Karnataka","(080) 41498183, 9663355623","#256/10.6th Cross10th Main1st BlockJayanagar BANGALORE RURAL(Dist) Karnataka"
"Christ King Convent High School Mysore, Karnataka","(0821) 2331595","Jlb RdLakshmipuramMysore MYSORE(Dist) Karnataka Pincode - 570004"
"Christ P.U. College Bagalkot, Karnataka","(080) 65338844, 65338855, 65332843, 65337915, 65337916, 65337917","Mysore RoadKanmanikeBagalkot BAGALKOT(Dist) Karnataka"
"Composite Sports Residential High School Belgaum, Karnataka","(0831) 237345, 237342, 237344","ChandaragiRamdurgBelgaum BELGAUM(Dist) Karnataka Pincode - 591123"
"D.Y. Chougule Bharatesh High School Belgaum, Karnataka","(0831) 2422107","52/A.Old PB RoadBelgaum BELGAUM(Dist) Karnataka Pincode - 590001"
"De Paul International Residential School Mandya, Karnataka","(0821) 3290401","BelagolaSrirangapatna TalukMandya MANDYA(Dist) Karnataka Pincode - 571606"
"Don Bosco English Medium High School Udupi, Karnataka","(0820) 2554168","Nr. Our Lady of Health Church ShirvaUdupi UDUPI(Dist) Karnataka Pincode - 574116"
"Dr. N. Shankara Adyanthaya Memorial English Medium High School Udupi, Karnataka","(08258) 281100, 9900146506","Jnana Meenakshi CampusKemmannu RoadNitte PostKarkala Tq UDUPI(Dist) Karnataka Pincode - 574110"
"G. G Chitnis English Medium High School Belgaum, Karnataka","(0831) 2467794","No.198.Budhawar PethTilakwadiBelgaum BELGAUM(Dist) Karnataka Pincode - 590006"
"Geetha High School Mandya, Karnataka","(08232) 220956","Shankar NagarMandya MANDYA(Dist) Karnataka Pincode - 571401"
"Geethanjali Higher Primary School Mandya, Karnataka","(08232) 231243","Bandigowda LayouMandya MANDYA(Dist) Karnataka Pincode - 571403"
"Gem International Residential School Chikballapur, Karnataka","(08155) 289752, 289753","BevenhalliT.M. RoadAlipur CHIKBALLAPUR(Dist) Karnataka Pincode - 516224"
"Gomatesh English Medium Primary School Belgaum, Karnataka","(0831) 2421349, 2464064, 2464762","Gomatesh NagarHindwadiBelgaum BELGAUM(Dist) Karnataka Pincode - 590011"
"Gomatesh High School Belgaum, Karnataka","(0831) 2421349, 2464064, 2464762","Gomatesh NagarHindwadiBelgaum BELGAUM(Dist) Karnataka Pincode - 590011"
"Gracy Arogya Mary Convent School Mysore, Karnataka","(0821) 2598377","No.441.Mallige RoadRoopanagarManasagangothriNear University Campus MYSORE(Dist) Karnataka Pincode - 570006"
"Green Valley Central School Mandya, Karnataka","9341878748.9","#36.Jakkankuppe VillageBelagola HobliHosahalli PostS.R. Patna Tq. MANDYA(Dist) Karnataka Pincode - 571438"
"Green Valley Educational Institution Mandya, Karnataka","9341878748.9","# 36.Jakkankuppe VillageBelagola HobliHosahalli PostS.R. Patna Tq. MANDYA(Dist) Karnataka Pincode - 571438"
"Green Valley School Mysore, Karnataka","(0821) 4263426, 9342117090, 9342916633","105.2nd MainJayalakshmipuramMysore MYSORE(Dist) Karnataka Pincode - 570012"
"Gyudmed Tantric Monastic School Mysore, Karnataka","(08222) 246038, 246202","Tibetan SettlementP.O. Gurupura Hunsur TalukMysore MYSORE(Dist) Karnataka Pincode - 571188"
"Hongirana School Of Excellence Shimoga, Karnataka","(08183) 265270","AmatekoppaHeggodu Post SagarShimoga SHIMOGA(Dist) Karnataka Pincode - 577401"
"I.S.Marol School Haveri, Karnataka","9962568654","Near Bust standSavanurHaveri HAVERI(Dist) Karnataka"
"J.P. Rotary High School Haveri, Karnataka","(08375) 234661","Ijarilakhamapur Main RoadIjarilakmapurHaveri HAVERI(Dist) Karnataka Pincode - 581110"
"Jnanadeepa School Shimoga, Karnataka","() 08182-60448","JavalliShimogaShimoga SHIMOGA(Dist) Karnataka Pincode - 577227"
"Jyothi High School Udupi, Karnataka","(08253) 271240","AjekarKarkala TalukUdupi UDUPI(Dist) Karnataka Pincode - 574101"
"Jyoti English Medium School Kolar, Karnataka","() 08154-252184","ChintamaniP.B. No 34Kolar KOLAR(Dist) Karnataka Pincode - 563125"
"K.J. Somaiya English Medium School Bagalkot, Karnataka","(08350) 260047","SameerwadiTaluka MudholBagalkot BAGALKOT(Dist) Karnataka Pincode - 587316"
"Kalpavruksha Model School Belgaum, Karnataka","(08288) 236889","Alankar NagarMurgod RoadBelgaum BELGAUM(Dist) Karnataka Pincode - 591102"
"Kannada Convent High School Gulbarga, Karnataka","(08472) 241478","Basaveshwara ColonySedem RoadGulbarga GULBARGA(Dist) Karnataka Pincode - 585105"
"Karnataka Navachethana Blind School Tumkur, Karnataka","(0816) 2282411, 9449306301","KunigalTumkur TUMKUR(Dist) Karnataka Pincode - 572130"
"Kaveri Girls High School Mandya, Karnataka","(08232) 225746","100.ft Road Nehru NagarMandya MANDYA(Dist) Karnataka Pincode - 571401"
"Kempegowda Residential School Tumkur, Karnataka","(0816) 2018055, 9448159496, 9844197117","Oordigere RoadBelagumbaTumkurKarnataka TUMKUR(Dist) Karnataka Pincode - 572104"
"Kenbridge School Gulbarga, Karnataka","(08472) 231447, 231448, 231449","Shahabad RoadOpp. Nrupathunga ColonyGulbarga GULBARGA(Dist) Karnataka Pincode - 585105"
"King George High School Bagalkot, Karnataka","(08350) 280106","Gandhi CircleMudhol Market RoadMahalingpur BAGALKOT(Dist) Karnataka Pincode - 587312"
"Kles English Medium School Belgaum, Karnataka","(0831) 220860","Nipani BelgaumBelgaum BELGAUM(Dist) Karnataka Pincode - 591237"
"Kumadhavathi Residential Central School(Krcs) Shimoga, Karnataka","(08187) 224475, 224475","Shivamogga RoadShimoga SHIMOGA(Dist) Karnataka Pincode - 577427"
"Little Rock Indian School Udupi, Karnataka","(0820) 2561977, 2561199, 2562400, 2561109, 2561899","Priority HighlandsPost Box No.-7Brahmavar UDUPI(Dist) Karnataka Pincode - 576213"
"Lourdu English Higher Primary School Kolar, Karnataka","(08159) 242691","Hospital RoadThyagaraja ColonyMulbagal KOLAR(Dist) Karnataka Pincode - 563131"
"Love Dale Central School Belgaum, Karnataka","(0831) 2458965","CTS No.7774Behind Shree Nagar GardenMM ExtensionMal Marutu Extension Belgaum BELGAUM(Dist) Karnataka Pincode - 590016"
"Loyola Convent School Gadag, Karnataka","(08372) 246213","Gadag Betgeri PostGadag GADAG(Dist) Karnataka Pincode - 582102"
"Loyola High School Gadag, Karnataka","(08372) 246094","Gadag Betgeri PostGadag GADAG(Dist) Karnataka Pincode - 582102"
"Luedolf High School Haveri, Karnataka","(08375) 235473","Agadi RoadAgadiHaveri HAVERI(Dist) Karnataka Pincode - 581110"
"Maharishi Vidya Mandir Gulbarga, Karnataka","(08472) 29471, 30376","Principal Name: Mr G D Kulkarni Lahoti BuildingAvian-e Shahi Road GulabargaGulbarga GULBARGA(Dist) Karnataka Pincode - 585102"
"Madhava Kripa High School Udupi, Karnataka","(0820) 2570317, 2574317","Madhav NagarUdupi UDUPI(Dist) Karnataka Pincode - 576104"
